STATE_CODE,RPTG_PRD_START_DT,RPTG_PRD_END_DT,FLUVAC_STATE_NUM,FLUVAC_STATE_DEN,FLUVAC_STATE_ADHPCT,FLUVAC_STATE_ADHPCT_CI_LOWER,FLUVAC_STATE_ADHPCT_CI_UPPER
AK,10012015,03312016,551,892,62,59,65
AL,10012015,03312016,5528,9398,59,58,60
AR,10012015,03312016,3771,4814,78,77,79
AS,10012015,03312016,,,,,
AZ,10012015,03312016,4626,6927,67,66,68
CA,10012015,03312016,22390,28838,78,77,78
CO,10012015,03312016,3801,4033,94,93,95
CT,10012015,03312016,6254,7382,85,84,86
DC,10012015,03312016,2779,3329,83,82,85
DE,10012015,03312016,1993,2710,74,72,75
FL,10012015,03312016,25571,31944,80,80,80
GA,10012015,03312016,11294,16166,70,69,71
GU,10012015,03312016,,,,,
HI,10012015,03312016,387,492,79,75,82
IA,10012015,03312016,5792,6151,94,94,95
ID,10012015,03312016,5926,7057,84,83,85
IL,10012015,03312016,22332,26630,84,83,84
IN,10012015,03312016,10429,12564,83,82,84
KS,10012015,03312016,1217,1889,64,62,67
KY,10012015,03312016,4659,6109,76,75,77
LA,10012015,03312016,7054,9764,72,71,73
MA,10012015,03312016,9528,12112,79,78,79
MD,10012015,03312016,5496,6226,88,87,89
ME,10012015,03312016,1686,1919,88,86,89
MI,10012015,03312016,10402,13324,78,77,79
MN,10012015,03312016,4329,5733,76,74,77
MO,10012015,03312016,11133,12086,92,92,93
MP,10012015,03312016,,,,,
MS,10012015,03312016,3232,5662,57,56,58
MT,10012015,03312016,578,1051,55,52,58
NC,10012015,03312016,11985,13401,89,89,90
ND,10012015,03312016,1717,1914,90,88,91
NE,10012015,03312016,1934,2137,91,89,92
NH,10012015,03312016,2723,3108,88,86,89
NJ,10012015,03312016,14216,23715,60,59,61
NM,10012015,03312016,946,1436,66,63,68
NV,10012015,03312016,2131,3070,69,68,71
NY,10012015,03312016,71445,87397,82,81,82
OH,10012015,03312016,25791,30197,85,85,86
OK,10012015,03312016,3125,4336,72,71,73
OR,10012015,03312016,1119,1640,68,66,70
PA,10012015,03312016,23474,30270,78,77,78
PR,10012015,03312016,776,1087,71,69,74
RI,10012015,03312016,3438,3713,93,92,93
SC,10012015,03312016,5153,6426,80,79,81
SD,10012015,03312016,999,1038,96,95,97
TN,10012015,03312016,17243,20224,85,85,86
TX,10012015,03312016,25091,33652,75,74,75
UT,10012015,03312016,3613,3982,91,90,92
VA,10012015,03312016,11348,14924,76,75,77
VI,10012015,03312016,,,,,
VT,10012015,03312016,761,1428,53,51,56
WA,10012015,03312016,3802,6019,63,62,64
WI,10012015,03312016,5853,8018,73,72,74
WV,10012015,03312016,6392,7580,84,83,85
WY,10012015,03312016,3588,3786,95,94,95
